identifier,votes,pref,value
369384941-1,"['1-3', '1-4', '1-5', '1-1', '1-2']",0,1.0
374660167-1,"['1-2', '1-3', '1-5', '6-2', '7-2', '7-1', '4-5']",0,1.0
377170243-1,"['1-2', '3-1', '1-5', '3-3', '2-1']",0,1.0
382561726-1,"['1-1', '4-4', '1-4', '6-1', '4-3']",0,1.0
410884514-1,"['1-2', '1-5', '1-1', '1-3', '1-4']",0,1.0
465998227-1,"['1-2', '1-4', '3-1', '1-5', '4-2', '6-1', '7-1', '2-1', '4-1', '1-3']",0,1.0
476874252-1,"['1-1', '1-5', '1-4', '1-3', '1-2']",0,1.0
512526374-1,"['1-2', '1-4', '4-4', '4-2', '6-2']",0,1.0
519074388-1,"['1-2', '1-5', '1-3', '1-4', '1-1']",0,1.0
547208506-1,"['1-1', '1-4', '1-3', '1-5', '1-2']",0,1.0
562199370-1,"['1-2', '1-1', '1-3', '1-5', '1-4', '3-1', '3-2', '3-3', '8-2', '7-2', '8-1', '7-1', '2-2', '2-1', '4-5', '4-3', '4-2', '6-2', '6-1', '5-2', '5-1', '4-4', '4-1']",0,1.0
563348051-1,"['1-3', '1-5', '1-1', '1-2', '1-4']",0,1.0
594431332-1,"['1-3', '1-4', '4-4', '4-2', '7-1']",0,1.0
598764381-1,"['1-3', '1-4', '1-2', '1-5', '1-1', '3-3', '3-2', '3-1']",0,1.0
611433637-1,"['1-2', '1-5', '3-2', '1-3', '3-1', '1-1', '3-3', '1-4']",0,1.0
664291329-1,"['1-3', '1-5', '3-1', '3-3', '3-2', '5-2', '7-1']",0,1.0
673026367-1,"['1-3', '3-1', '1-1', '3-2', '3-3']",0,1.0
675220540-1,"['1-3', '1-2', '1-1', '1-4', '1-5', '3-2', '3-3', '3-1']",0,1.0
682598776-1,"['1-3', '1-4', '1-5', '1-1', '1-2']",0,1.0
735392966-1,"['1-3', '1-5', '1-4', '1-1', '1-2']",0,1.0
754486753-1,"['1-1', '3-2', '7-2', '8-1', '5-1']",0,1.0
779452439-1,"['1-3', '1-1', '1-2', '1-4', '1-5', '3-3', '3-2', '3-1', '6-1', '6-2']",0,1.0
783343405-1,"['1-2', '3-1', '1-1', '1-5', '3-2', '3-3', '1-4', '1-3', '2-2', '2-1', '4-1']",0,1.0
804520808-1,"['1-2', '1-3', '1-1', '1-4', '1-5']",0,1.0
810240186-1,"['1-2', '1-1', '1-5', '1-3', '1-4', '3-2', '3-3', '3-1', '6-1', '4-4', '4-1', '6-2']",0,1.0
818375913-1,"['1-2', '1-4', '1-5', '1-1', '1-3']",0,1.0
862379762-1,"['1-1', '1-3', '1-5', '1-2', '1-4', '2-2', '2-1', '3-2', '3-1', '3-3']",0,1.0
